"Sample","Total_Reads_total","Total_Reads_spiked","Percentage","Result"
"UHM910.20658_S184",7628,1480,19.4022024121657,"passed"
"UHM965.20633_S169",19403,4439,22.8779054785342,"passed"
"UHM966.20839_S147",14822,8198,55.3096748077183,"failed"
"UHM967.20840_S159",20603,584,2.83453865941853,"passed"
"UHM968.20667_S102",57262,56504,98.6762599979044,"failed"
"UHM969.20841_S171",2935,135,4.59965928449745,"passed"
"UHM971.20842_S183",21121,354,1.67605700487666,"passed"
"UHM973.20674_S186",6149,4357,70.8570499268174,"failed"
"UHM974.20528_S168",47844,46977,98.187860546777,"failed"
"UHM975.20843_S100",9487,297,3.13059976810372,"passed"
"UHM977.20844_S112",12827,1744,13.5963202619475,"passed"
"UHM978.20845_S124",356,98,27.5280898876405,"passed"
"UHM979.20846_S136",3617,419,11.5841857893282,"passed"
"UHM980.20827_S98",19116,14682,76.8047708725675,"failed"
"UHM981.20635_S98",37872,6706,17.7070130967469,"passed"
"UHM982.20836_S111",18955,154,0.812450540754418,"passed"
"UHM983.20652_S112",36041,1656,4.59476707083599,"passed"
"UHM984.20847_S148",5377,129,2.39910730890831,"passed"
"UHM985.20848_S160",12322,1741,14.1291998052264,"passed"
"UHM988.20849_S172",15784,6635,42.0362392295996,"failed"
"UHM989.20850_S184",4002,201,5.02248875562219,"passed"
"UHM991.20851_S101",9457,4208,44.4961404250819,"failed"
"UHM993.20837_S123",5767,232,4.02288885035547,"passed"
"UHM996.20706_S190",18055,14568,80.6867903627804,"failed"
"UHM997.20649_S171",7371,1909,25.8987925654592,"passed"
"UHM998.20714_S191",19559,14857,75.9599161511325,"failed"
"UHM999.20713_S179",12057,322,2.67064775649001,"passed"
