"","Sample","Total_Reads"
"UHM428.20640_S158","UHM428.20640_S158",115
"UHM429.20655_S148","UHM429.20655_S148",10661
"UHM435.20643_S99","UHM435.20643_S99",3921
"UHM437.20864_S162","UHM437.20864_S162",329
"UHM439.20660_S113","UHM439.20660_S113",642
"UHM443.20524_S120","UHM443.20524_S120",0
"UHM445.20665_S173","UHM445.20665_S173",10
"UHM447.20879_S152","UHM447.20879_S152",49
"UHM448.20865_S174","UHM448.20865_S174",2218
"UHM452.20880_S164","UHM452.20880_S164",872
"UHM454.20866_S186","UHM454.20866_S186",440
"UHM455.20881_S176","UHM455.20881_S176",346
"UHM458.20882_S188","UHM458.20882_S188",51
"UHM459.20883_S105","UHM459.20883_S105",134
"UHM461.20867_S103","UHM461.20867_S103",3904
"UHM467.20868_S115","UHM467.20868_S115",313
"UHM470.20629_S121","UHM470.20629_S121",1135
"UHM476.20510_S142","UHM476.20510_S142",1321
"UHM478.20645_S123","UHM478.20645_S123",15515
"UHM479.20647_S147","UHM479.20647_S147",48053
"UHM481.20499_S105","UHM481.20499_S105",8615
"UHM482.20686_S140","UHM482.20686_S140",25143
"UHM483.20699_S106","UHM483.20699_S106",201
"UHM519.20678_S139","UHM519.20678_S139",1563
"UHM520.20669_S126","UHM520.20669_S126",44
"UHM836.20481_S174","UHM836.20481_S174",1786
"UHM837.20482_S186","UHM837.20482_S186",4997
"UHM838.20483_S103","UHM838.20483_S103",60
"UHM891.20480_S162","UHM891.20480_S162",95
"UHM892.20628_S109","UHM892.20628_S109",270
"UHM893.20691_S105","UHM893.20691_S105",26
"UHM894.20636_S110","UHM894.20636_S110",48
"UHM895.20632_S157","UHM895.20632_S157",407
"UHM896.20697_S177","UHM896.20697_S177",46
"UHM897.20687_S152","UHM897.20687_S152",188
"UHM898.20490_S187","UHM898.20490_S187",271
"UHM899.20684_S116","UHM899.20684_S116",0
"UHM900.20491_S104","UHM900.20491_S104",33
"UHM901.20638_S134","UHM901.20638_S134",442
"UHM902.20680_S163","UHM902.20680_S163",1973
"UHM903.20683_S104","UHM903.20683_S104",2679
"UHM904.20663_S149","UHM904.20663_S149",241
"UHM905.20694_S141","UHM905.20694_S141",237
"UHM906.20661_S125","UHM906.20661_S125",25
"UHM907.20688_S164","UHM907.20688_S164",3030
"UHM908.20492_S116","UHM908.20492_S116",1564
"UHM909.20653_S124","UHM909.20653_S124",15279
"UHM910.20658_S184","UHM910.20658_S184",1480
"UHM965.20633_S169","UHM965.20633_S169",4439
"UHM966.20839_S147","UHM966.20839_S147",8198
"UHM967.20840_S159","UHM967.20840_S159",584
"UHM968.20667_S102","UHM968.20667_S102",56504
"UHM969.20841_S171","UHM969.20841_S171",135
"UHM971.20842_S183","UHM971.20842_S183",354
"UHM973.20674_S186","UHM973.20674_S186",4357
"UHM974.20528_S168","UHM974.20528_S168",46977
"UHM975.20843_S100","UHM975.20843_S100",297
"UHM977.20844_S112","UHM977.20844_S112",1744
"UHM978.20845_S124","UHM978.20845_S124",98
"UHM979.20846_S136","UHM979.20846_S136",419
"UHM980.20827_S98","UHM980.20827_S98",14682
"UHM981.20635_S98","UHM981.20635_S98",6706
"UHM982.20836_S111","UHM982.20836_S111",154
"UHM983.20652_S112","UHM983.20652_S112",1656
"UHM984.20847_S148","UHM984.20847_S148",129
"UHM985.20848_S160","UHM985.20848_S160",1741
"UHM988.20849_S172","UHM988.20849_S172",6635
"UHM989.20850_S184","UHM989.20850_S184",201
"UHM991.20851_S101","UHM991.20851_S101",4208
"UHM993.20837_S123","UHM993.20837_S123",232
"UHM996.20706_S190","UHM996.20706_S190",14568
"UHM997.20649_S171","UHM997.20649_S171",1909
"UHM998.20714_S191","UHM998.20714_S191",14857
"UHM999.20713_S179","UHM999.20713_S179",322
