"","Sample","Total_Reads"
"UHM382.20876_S116","UHM382.20876_S116",13468
"UHM386.20877_S128","UHM386.20877_S128",26767
"UHM387.20878_S140","UHM387.20878_S140",18500
"UHM414.20679_S151","UHM414.20679_S151",15612
"UHM418.20861_S126","UHM418.20861_S126",7288
"UHM422.20862_S138","UHM422.20862_S138",26095
"UHM425.20863_S150","UHM425.20863_S150",20207
"UHM426.20630_S133","UHM426.20630_S133",29644
"UHM428.20640_S158","UHM428.20640_S158",7132
"UHM429.20655_S148","UHM429.20655_S148",28519
"UHM435.20643_S99","UHM435.20643_S99",29010
"UHM437.20864_S162","UHM437.20864_S162",9160
"UHM439.20660_S113","UHM439.20660_S113",24852
"UHM443.20524_S120","UHM443.20524_S120",7285
"UHM445.20665_S173","UHM445.20665_S173",13866
"UHM447.20879_S152","UHM447.20879_S152",13607
"UHM448.20865_S174","UHM448.20865_S174",20234
"UHM452.20880_S164","UHM452.20880_S164",6687
"UHM454.20866_S186","UHM454.20866_S186",8923
"UHM455.20881_S176","UHM455.20881_S176",10097
"UHM458.20882_S188","UHM458.20882_S188",8231
"UHM459.20883_S105","UHM459.20883_S105",11698
"UHM461.20867_S103","UHM461.20867_S103",28873
"UHM467.20868_S115","UHM467.20868_S115",17979
"UHM470.20629_S121","UHM470.20629_S121",24778
"UHM476.20510_S142","UHM476.20510_S142",8970
"UHM478.20645_S123","UHM478.20645_S123",15640
"UHM479.20647_S147","UHM479.20647_S147",51440
"UHM481.20499_S105","UHM481.20499_S105",16133
"UHM482.20686_S140","UHM482.20686_S140",31520
"UHM483.20699_S106","UHM483.20699_S106",51040
"UHM519.20678_S139","UHM519.20678_S139",19418
"UHM520.20669_S126","UHM520.20669_S126",1492
"UHM836.20481_S174","UHM836.20481_S174",3932
"UHM837.20482_S186","UHM837.20482_S186",5158
"UHM838.20483_S103","UHM838.20483_S103",17913
"UHM891.20480_S162","UHM891.20480_S162",24748
"UHM892.20628_S109","UHM892.20628_S109",19078
"UHM893.20691_S105","UHM893.20691_S105",3996
"UHM894.20636_S110","UHM894.20636_S110",64
"UHM895.20632_S157","UHM895.20632_S157",16671
"UHM896.20697_S177","UHM896.20697_S177",23423
"UHM897.20687_S152","UHM897.20687_S152",25647
"UHM898.20490_S187","UHM898.20490_S187",8188
"UHM899.20684_S116","UHM899.20684_S116",360
"UHM900.20491_S104","UHM900.20491_S104",740
"UHM901.20638_S134","UHM901.20638_S134",5738
"UHM902.20680_S163","UHM902.20680_S163",27444
"UHM903.20683_S104","UHM903.20683_S104",25157
"UHM904.20663_S149","UHM904.20663_S149",11906
"UHM905.20694_S141","UHM905.20694_S141",19235
"UHM906.20661_S125","UHM906.20661_S125",2772
"UHM907.20688_S164","UHM907.20688_S164",13043
"UHM908.20492_S116","UHM908.20492_S116",3197
"UHM909.20653_S124","UHM909.20653_S124",38168
"UHM910.20658_S184","UHM910.20658_S184",7628
"UHM965.20633_S169","UHM965.20633_S169",19403
"UHM966.20839_S147","UHM966.20839_S147",14822
"UHM967.20840_S159","UHM967.20840_S159",20603
"UHM968.20667_S102","UHM968.20667_S102",57262
"UHM969.20841_S171","UHM969.20841_S171",2935
"UHM971.20842_S183","UHM971.20842_S183",21121
"UHM973.20674_S186","UHM973.20674_S186",6149
"UHM974.20528_S168","UHM974.20528_S168",47844
"UHM975.20843_S100","UHM975.20843_S100",9487
"UHM977.20844_S112","UHM977.20844_S112",12827
"UHM978.20845_S124","UHM978.20845_S124",356
"UHM979.20846_S136","UHM979.20846_S136",3617
"UHM980.20827_S98","UHM980.20827_S98",19116
"UHM981.20635_S98","UHM981.20635_S98",37872
"UHM982.20836_S111","UHM982.20836_S111",18955
"UHM983.20652_S112","UHM983.20652_S112",36041
"UHM984.20847_S148","UHM984.20847_S148",5377
"UHM985.20848_S160","UHM985.20848_S160",12322
"UHM988.20849_S172","UHM988.20849_S172",15784
"UHM989.20850_S184","UHM989.20850_S184",4002
"UHM991.20851_S101","UHM991.20851_S101",9457
"UHM993.20837_S123","UHM993.20837_S123",5767
"UHM996.20706_S190","UHM996.20706_S190",18055
"UHM997.20649_S171","UHM997.20649_S171",7371
"UHM998.20714_S191","UHM998.20714_S191",19559
"UHM999.20713_S179","UHM999.20713_S179",12057
